,Authors,Affiliation
0,"Abbas,Muhammad Khizar","Electronics & Power Engineering, Pakistan"
1,"Abbot,Drew","AiLive Inc, Sunnyvale, CA, USA"
2,"Adkins,Phillip","AiLive Inc, Sunnyvale, CA, USA"
3,"Altenmuller,D. -M.","University of Freiburg, Freiburg, Germany"
4,"Andrechak, Jason C.","University of Delaware, Newark, DE, USA"
5,"Archer,John","University of Melbourne, Melbourne, VIC, Australia"
6,"Aschenbrenner-Scheibe,R.","University of Freiburg, Freiburg, Germany"
7,"Attia,Tal Pal","Mayo Clinic, Rochester, MN, USA"
8,"Barachant,Alexandre","Grenoble, France"
9,"Baud,Maxime O","University of California (SF), CA, USA"
10,"Berkovic,Samuel F.","University of Melbourne, Melbourne, VIC, Australia"
11,"Bernard,Christophe","Marseille University, Marseille, France"
12,"Berry,Brent M.","Mayo Clinic, Rochester, MN, USA"
13,"Bidwell,Jonathan","Boston Children’s Hospital, Boston, MA, USA"
14,"Biondi,Andrea","King's College London, London, UK"
15,"Black,Angela P","Corridor Primary Care, San Marcos, TX, USA"
16,"Borkowski,Thomas","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
17,"Bosshard,Simone C.","University of Queensland, Qld, Australia"
18,"Botella-Rocamora,Paloma","CEU Cardenal Herrera University, Valencia, Spain"
19,"Brandt,A.","University of Freiburg, Freiburg, Germany"
20,"Bridges,John F. P.","Ohio State University College of Medicine, Columbus, OH, USA"
21,"Brinkmann,Benjamin H.","Mayo Clinic, Rochester, MN, USA"
22,"Broadhead,Derek","Arete Associates, VA, USA"
23,"Bruno,Elisa","King's College London, London, UK"
24,"Bulluss,K. J.","University of Melbourne, Melbourne, VIC, Australia"
25,"Cameron,T. L.","Epi-Minder Pty. Ltd., Melbourne, VIC, Australia"
26,"Carius,Astrid","University of Freiburg, Freiburg, Germany"
27,"Chang,Edward F.","University of California (SF), CA, USA"
28,"Chen,Min","University of Queensland, Qld, Australia"
29,"Cherkassky,Vladimir","University of Minnesota, St. Paul, MN, USA"
30,"Chiang,Sharon","University of California (SF), CA, USA"
31,"Cimbalnik,Jan","Mayo Clinic, Rochester, MN, USA"
32,"Cook,Mark J.","University of Melbourne, Melbourne, VIC, Australia"
33,"Cornes,Susannah","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
34,"Crepeau,Daniel","Mayo Clinic, Rochester, MN, USA"
35,"Cukierski,Will","Kaggle, Inc. New York NY, USA"
36,"D'Souza,Wendyl","University of Melbourne, Melbourne, VIC, Australia"
37,"Davis,Gay R.","University of Washington, Seattle, WA, USA"
38,"Dell,Katrina L.","University of Melbourne, Melbourne, VIC, Australia"
39,"Dobson,Richard J.B.","King's College London, London, UK"
40,"Dobson,Scott","Arete Associates, VA, USA"
41,"Dumanis,Sonya B.","Epilepsy Foundation, Landover, MD, USA"
42,"Dumpelmann,Matthias","University of Freiburg, Freiburg, Germany"
43,"Eden,Dominique","Seer Medical, Melbourne, VIC, Australia"
44,"El Atrache,Rima","Boston Children’s Hospital, Boston, MA, USA"
45,"Fabinyi,Gavin","University of Melbourne, Melbourne, VIC, Australia"
46,"Feldwisch-Drentrup,Hinnerk","University of Freiburg, Freiburg, Germany"
47,"Folarin,Amos A.","King's College London, London, UK"
48,"Forzy,G.","Université Catholique de Louvain, France"
49,"Freestone,Dean R.","St. Vincent's Hospital, Melbourne, VIC, Australia"
50,"French,Jacqueline A.","Epilepsy Foundation, Landover, MD, USA"
51,"Fureman,Brandy E.","Epilepsy Foundation, Landover, MD, USA"
52,"Gallois,P.","Université Catholique de Louvain, France"
53,"Gavvala,Jay","Baylor College of Medicine, Houston, TX"
54,"Gerche,Andre La","Baker Heart & Diabetes Institute, Melbourne, Australia"
55,"Gerla,Vaclav","Czech Technical University in Prague, Prague, Czech Republic"
56,"Goldenholz,Daniel M.","Beth Israel Deaconess Medical Center, Boston, MA"
57,"Goldenholz,Shira R.","Beth Israel Deaconess Medical Center, Boston, MA"
58,"Grayden,David B.","University of Melbourne, Melbourne, VIC, Australia"
59,"Gregg,Nicholas M.","Mayo Clinic, Rochester, MN, USA"
60,"Grunberg,Daniel B.","Solverworld, Massachusetts, USA"
61,"Grzeskowiak,Caitlin L. L.","Epilepsy Foundation, Landover, MD, USA"
62,"Guragain,Hari","Mayo Clinic, Rochester, MN, USA"
63,"Hall,Charles B.","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
64,"Halliday,Amy J.","St. Vincent's Hospital, Melbourne, VIC, Australia"
65,"Haneef,Zulfi","Baylor College of Medicine, Houston, TX"
66,"Haut,Sheryl R.","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
67,"He,Jialune","Hemedics Inc, Boston, MA, USA"
68,"Heasman,J.","Epi-Minder Pty. Ltd., Melbourne, VIC, Australia"
69,"Heinemann,Uwe","Charité-Universitätsmedizin Berlin, Berlin, Germany"
70,"Hills,Michael","Sydney, Australia"
71,"Himes,David","NeuroVista, Seattle, WA, USA"
72,"Hoare,R. J.","Epi-Minder Pty. Ltd., Melbourne, VIC, Australia"
73,"Hofstra,Wytske AElig","Department of Clinical Neurophysiology and Sleep Centre SEIN Zwolle, The Netherlands"
74,"Hosking,Sean","Royal Melbourne Hospital, Melbourne, VIC, Australia"
75,"Howbert,J. Jeffry","NeuroVista, Seattle, WA, USA"
76,"Huwig,Tanya","Ohio State University College of Medicine, Columbus, OH, USA"
77,"Hyman,Sarah","Ohio State University College of Medicine, Columbus, OH, USA"
78,"Ihle,Matthias","University of Freiburg, Freiburg, Germany"
79,"Ivanenko,Irina","Kyiv, Ukraine"
80,"Iyer,Ravishankar K.","University of Illinois at Urbana-Champaign, IL, USA"
81,"Jachan,M.","University of Freiburg, Freiburg, Germany"
82,"Jackson,Michele","Boston Children’s Hospital, Boston, MA, USA"
83,"Janse,Sarah A.","Ohio State University College of Medicine, Columbus, OH, USA"
84,"Jones,Gareth","UCL Ear Institute, London, UK"
