,bigrams,counts
0,"('Andrechak,Jason C.', 'Baud,Maxime O.')",1
1,"('Andrechak,Jason C.', 'Chang,Edward F.')",1
2,"('Andrechak,Jason C.', 'King-Stephens,David')",1
3,"('Andrechak,Jason C.', 'Kleen,Jonathan K.')",1
4,"('Andrechak,Jason C.', 'Mirro,Emily A.')",1
5,"('Andrechak,Jason C.', 'Rao,Vikram R.')",1
6,"('Baud,Maxime O.', 'Chang,Edward F.')",1
7,"('Baud,Maxime O.', 'King-Stephens,David')",2
8,"('Baud,Maxime O.', 'Kleen,Jonathan K.')",1
9,"('Baud,Maxime O.', 'Mirro,Emily A.')",1
10,"('Baud,Maxime O.', 'Rao,Vikram R.')",3
11,"('Chang,Edward F.', 'King-Stephens,David')",1
12,"('Chang,Edward F.', 'Kleen,Jonathan K.')",1
13,"('Chang,Edward F.', 'Mirro,Emily A.')",1
14,"('Chang,Edward F.', 'Rao,Vikram R.')",1
15,"('King-Stephens,David', 'Kleen,Jonathan K.')",1
16,"('King-Stephens,David', 'Mirro,Emily A.')",1
17,"('King-Stephens,David', 'Rao,Vikram R.')",2
18,"('Kleen,Jonathan K.', 'Mirro,Emily A.')",1
19,"('Kleen,Jonathan K.', 'Rao,Vikram R.')",2
20,"('Mirro,Emily A.', 'Rao,Vikram R.')",1
21,"('Brinkmann,Benjamin H.', 'Gregg,Nicholas M.')",1
22,"('Brinkmann,Benjamin H.', 'Worrell,Gregory A.')",5
23,"('Gregg,Nicholas M.', 'Worrell,Gregory A.')",1
24,"('Bidwell,Jonathan', 'Black,Angela P')",1
25,"('Bidwell,Jonathan', 'Chiang,Sharon')",1
26,"('Bidwell,Jonathan', 'Jackson,Michele')",1
27,"('Bidwell,Jonathan', 'Loddenkemper,Tobias')",1
28,"('Bidwell,Jonathan', 'Meisel,Christian')",1
29,"('Bidwell,Jonathan', 'Moss,Chuck')",1
30,"('Bidwell,Jonathan', 'Moss,Robert E.')",1
31,"('Black,Angela P', 'Chiang,Sharon')",1
32,"('Black,Angela P', 'Jackson,Michele')",1
33,"('Black,Angela P', 'Loddenkemper,Tobias')",1
34,"('Black,Angela P', 'Meisel,Christian')",1
35,"('Black,Angela P', 'Moss,Chuck')",1
36,"('Black,Angela P', 'Moss,Robert E.')",1
37,"('Chiang,Sharon', 'Jackson,Michele')",1
38,"('Chiang,Sharon', 'Loddenkemper,Tobias')",1
39,"('Chiang,Sharon', 'Meisel,Christian')",1
40,"('Chiang,Sharon', 'Moss,Chuck')",1
41,"('Chiang,Sharon', 'Moss,Robert E.')",2
42,"('Jackson,Michele', 'Loddenkemper,Tobias')",1
43,"('Jackson,Michele', 'Meisel,Christian')",1
44,"('Jackson,Michele', 'Moss,Chuck')",1
45,"('Jackson,Michele', 'Moss,Robert E.')",1
46,"('Loddenkemper,Tobias', 'Meisel,Christian')",1
47,"('Loddenkemper,Tobias', 'Moss,Chuck')",1
48,"('Loddenkemper,Tobias', 'Moss,Robert E.')",1
49,"('Meisel,Christian', 'Moss,Chuck')",1
50,"('Meisel,Christian', 'Moss,Robert E.')",1
51,"('Moss,Chuck', 'Moss,Robert E.')",1
52,"('Chiang,Sharon', 'Gavvala,Jay')",1
53,"('Chiang,Sharon', 'Goldenholz,Daniel M.')",1
54,"('Chiang,Sharon', 'Haneef,Zulfi')",1
55,"('Chiang,Sharon', 'Kleen,Jonathan K.')",1
56,"('Chiang,Sharon', 'Rao,Vikram R.')",1
57,"('Chiang,Sharon', 'Stern,John M.')",1
58,"('Chiang,Sharon', 'Theodore,William H.')",1
59,"('Chiang,Sharon', 'Vannucci,Marina')",1
60,"('Gavvala,Jay', 'Goldenholz,Daniel M.')",1
61,"('Gavvala,Jay', 'Haneef,Zulfi')",1
62,"('Gavvala,Jay', 'Kleen,Jonathan K.')",1
63,"('Gavvala,Jay', 'Moss,Robert E.')",1
64,"('Gavvala,Jay', 'Rao,Vikram R.')",1
65,"('Gavvala,Jay', 'Stern,John M.')",1
66,"('Gavvala,Jay', 'Theodore,William H.')",1
67,"('Gavvala,Jay', 'Vannucci,Marina')",1
68,"('Goldenholz,Daniel M.', 'Haneef,Zulfi')",1
69,"('Goldenholz,Daniel M.', 'Kleen,Jonathan K.')",1
70,"('Goldenholz,Daniel M.', 'Moss,Robert E.')",4
71,"('Goldenholz,Daniel M.', 'Rao,Vikram R.')",1
72,"('Goldenholz,Daniel M.', 'Stern,John M.')",1
73,"('Goldenholz,Daniel M.', 'Theodore,William H.')",3
74,"('Goldenholz,Daniel M.', 'Vannucci,Marina')",1
75,"('Haneef,Zulfi', 'Kleen,Jonathan K.')",1
76,"('Haneef,Zulfi', 'Moss,Robert E.')",1
77,"('Haneef,Zulfi', 'Rao,Vikram R.')",1
78,"('Haneef,Zulfi', 'Stern,John M.')",1
79,"('Haneef,Zulfi', 'Theodore,William H.')",1
80,"('Haneef,Zulfi', 'Vannucci,Marina')",1
81,"('Kleen,Jonathan K.', 'Moss,Robert E.')",1
82,"('Kleen,Jonathan K.', 'Stern,John M.')",1
83,"('Kleen,Jonathan K.', 'Theodore,William H.')",1
84,"('Kleen,Jonathan K.', 'Vannucci,Marina')",1
85,"('Moss,Robert E.', 'Rao,Vikram R.')",1
86,"('Moss,Robert E.', 'Stern,John M.')",1
87,"('Moss,Robert E.', 'Theodore,William H.')",3
88,"('Moss,Robert E.', 'Vannucci,Marina')",1
89,"('Rao,Vikram R.', 'Stern,John M.')",1
90,"('Rao,Vikram R.', 'Theodore,William H.')",1
